"Article","Number of tweets","Number of tweets(in thousands)","Date"
"call","5918","6","04/17/2020"
"chinese","5901","6","04/17/2020"
"getting","5890","6","04/17/2020"
"24","5886","6","04/17/2020"
"next","5861","6","04/17/2020"
"nhs","5840","6","04/17/2020"
"mais","5813","6","04/17/2020"
"use","5794","6","04/17/2020"
"media","5738","6","04/17/2020"
"tested","5738","6","04/17/2020"
"salud","5734","6","04/17/2020"
"another","5714","6","04/17/2020"
"two","5711","6","04/17/2020"
"gt","5700","6","04/17/2020"
"watch","5669","6","04/17/2020"
"não","5656","6","04/17/2020"
"masks","5633","6","04/17/2020"
"ser","5630","6","04/17/2020"
"staff","5558","6","04/17/2020"
"numbers","5521","6","04/17/2020"
"give","5470","6","04/17/2020"
"since","5462","6","04/17/2020"
"30","5445","6","04/17/2020"
"case","5439","6","04/17/2020"
"weeks","5415","6","04/17/2020"
"better","5400","6","04/17/2020"
"ne","5396","6","04/17/2020"
"quarantine","5385","6","04/17/2020"
"ca","5331","6","04/17/2020"
"risk","5314","6","04/17/2020"
"ce","5283","6","04/17/2020"
"best","5261","6","04/17/2020"
"plus","5259","6","04/17/2020"
"long","5220","6","04/17/2020"
"report","5196","6","04/17/2020"
"show","5166","6","04/17/2020"
"countries","5137","6","04/17/2020"
"confirmed","5114","6","04/17/2020"
"eu","5106","6","04/17/2020"
"distancing","5103","6","04/17/2020"
"article","5082","6","04/17/2020"
"online","5077","6","04/17/2020"
"end","5066","6","04/17/2020"
"updates","5061","6","04/17/2020"
"around","5049","6","04/17/2020"
"far","5047","6","04/17/2020"
"relief","5044","6","04/17/2020"
"100","5034","6","04/17/2020"
"mundo","5022","6","04/17/2020"
"15","4976","5","04/17/2020"
"find","4964","5","04/17/2020"
"information","4953","5","04/17/2020"
"in","4945","5","04/17/2020"
"ve","4945","5","04/17/2020"
"community","4943","5","04/17/2020"
"job","4921","5","04/17/2020"
"reported","4919","5","04/17/2020"
"yang","4887","5","04/17/2020"
"big","4881","5","04/17/2020"
"god","4875","5","04/17/2020"
"done","4868","5","04/17/2020"
"love","4845","5","04/17/2020"
"city","4839","5","04/17/2020"
"país","4828","5","04/17/2020"
"pay","4812","5","04/17/2020"
"rate","4804","5","04/17/2020"
"flu","4802","5","04/17/2020"
"par","4783","5","04/17/2020"
"part","4746","5","04/17/2020"
"impact","4738","5","04/17/2020"
"york","4659","5","04/17/2020"
"put","4659","5","04/17/2020"
"personas","4645","5","04/17/2020"
"va","4642","5","04/17/2020"
"coronaviruspandemic","4639","5","04/17/2020"
"lab","4623","5","04/17/2020"
"needs","4621","5","04/17/2020"
"jenazah","4605","5","04/17/2020"
"che","4586","5","04/17/2020"
"casa","4578","5","04/17/2020"
"story","4555","5","04/17/2020"
"economic","4537","5","04/17/2020"
"already","4535","5","04/17/2020"
"hoy","4535","5","04/17/2020"
"yet","4529","5","04/17/2020"
"businesses","4524","5","04/17/2020"
"um","4510","5","04/17/2020"
"and","4503","5","04/17/2020"
"things","4497","5","04/17/2020"
"rt","4491","5","04/17/2020"
"thing","4490","5","04/17/2020"
"16","4451","5","04/17/2020"
"disease","4448","5","04/17/2020"
"france","4404","5","04/17/2020"
"small","4363","5","04/17/2020"
"sa","4355","5","04/17/2020"
"14","4346","5","04/17/2020"
"sure","4339","5","04/17/2020"
"doctors","4330","5","04/17/2020"
"start","4322","5","04/17/2020"
"je","4322","5","04/17/2020"
"gente","4302","5","04/17/2020"
"infected","4295","5","04/17/2020"
"12","4278","5","04/17/2020"
"protect","4274","5","04/17/2020"
"together","4268","5","04/17/2020"
"nothing","4264","5","04/17/2020"
"anyone","4253","5","04/17/2020"
"years","4246","5","04/17/2020"
"muertos","4245","5","04/17/2020"
"governor","4243","5","04/17/2020"
"friday","4238","5","04/17/2020"
"der","4234","5","04/17/2020"
"cuarentena","4214","5","04/17/2020"
"full","4209","5","04/17/2020"
"american","4188","5","04/17/2020"
"important","4175","5","04/17/2020"
"away","4169","5","04/17/2020"
"treatment","4140","5","04/17/2020"
"county","4108","5","04/17/2020"
"11","4096","5","04/17/2020"
"trying","4072","5","04/17/2020"
"18","4062","5","04/17/2020"
"covidー19","4053","5","04/17/2020"
"others","4042","5","04/17/2020"
"stayathome","4036","5","04/17/2020"
"enough","4028","5","04/17/2020"
"situation","4023","5","04/17/2020"
"believe","4014","5","04/17/2020"
"house","3997","4","04/17/2020"
"police","3996","4","04/17/2020"
"cnn","3986","4","04/17/2020"
"drug","3984","4","04/17/2020"
"something","3979","4","04/17/2020"
"ahora","3975","4","04/17/2020"
"tell","3964","4","04/17/2020"
"place","3949","4","04/17/2020"
"making","3945","4","04/17/2020"
"healthcare","3935","4","04/17/2020"
"high","3924","4","04/17/2020"
"local","3896","4","04/17/2020"
"de","3886","4","04/17/2020"
"national","3870","4","04/17/2020"
"africa","3867","4","04/17/2020"
"reopen","3863","4","04/17/2020"
"share","3852","4","04/17/2020"
"gov","3847","4","04/17/2020"
"save","3837","4","04/17/2020"
"someone","3834","4","04/17/2020"
"person","3829","4","04/17/2020"
"mask","3813","4","04/17/2020"
"change","3809","4","04/17/2020"
"old","3808","4","04/17/2020"
"govt","3803","4","04/17/2020"
"early","3788","4","04/17/2020"
"using","3788","4","04/17/2020"
"of","3784","4","04/17/2020"
"ever","3764","4","04/17/2020"
"ppe","3741","4","04/17/2020"
"nous","3739","4","04/17/2020"
"order","3736","4","04/17/2020"
"avec","3730","4","04/17/2020"
"bill","3726","4","04/17/2020"
"vous","3722","4","04/17/2020"
"control","3713","4","04/17/2020"
"solo","3710","4","04/17/2020"
"bad","3708","4","04/17/2020"
"hospitals","3704","4","04/17/2020"
"bien","3698","4","04/17/2020"
"contact","3688","4","04/17/2020"
"month","3682","4","04/17/2020"
"restrictions","3678","4","04/17/2020"
"bbc","3670","4","04/17/2020"
"research","3665","4","04/17/2020"
"it","3662","4","04/17/2020"
"south","3660","4","04/17/2020"
"presidente","3656","4","04/17/2020"
"hard","3646","4","04/17/2020"
"mas","3643","4","04/17/2020"
"cause","3639","4","04/17/2020"
"top","3637","4","04/17/2020"
"dead","3623","4","04/17/2020"
"team","3618","4","04/17/2020"
"04","3618","4","04/17/2020"
"yes","3617","4","04/17/2020"
"van","3615","4","04/17/2020"
"taking","3608","4","04/17/2020"
"might","3602","4","04/17/2020"
"españa","3598","4","04/17/2020"
"human","3590","4","04/17/2020"
"saying","3587","4","04/17/2020"
"hit","3584","4","04/17/2020"
"así","3579","4","04/17/2020"
"nuevos","3578","4","04/17/2020"
"rel","3572","4","04/17/2020"
"href","3570","4","04/17/2020"
"oh","3561","4","04/17/2020"
"sign","3558","4","04/17/2020"
"nofollow","3558","4","04/17/2020"
"always","3553","4","04/17/2020"
"qu","3540","4","04/17/2020"
"least","3538","4","04/17/2020"
"children","3535","4","04/17/2020"
"doctor","3530","4","04/17/2020"
"less","3529","4","04/17/2020"
"link","3510","4","04/17/2020"
"across","3479","4","04/17/2020"
"día","3470","4","04/17/2020"
"coronavírus","3461","4","04/17/2020"
"coming","3449","4","04/17/2020"
"point","3442","4","04/17/2020"
"continue","3441","4","04/17/2020"
"follow","3438","4","04/17/2020"
"months","3433","4","04/17/2020"
"measures","3398","4","04/17/2020"
"symptoms","3394","4","04/17/2020"
"sick","3391","4","04/17/2020"
"population","3391","4","04/17/2020"
"facebook","3391","4","04/17/2020"
"muertes","3368","4","04/17/2020"
"cómo","3352","4","04/17/2020"
"dos","3344","4","04/17/2020"
"this","3333","4","04/17/2020"
"experts","3327","4","04/17/2020"
"das","3321","4","04/17/2020"
"force","3317","4","04/17/2020"
"feel","3316","4","04/17/2020"
"soon","3309","4","04/17/2020"
"info","3303","4","04/17/2020"
"lost","3300","4","04/17/2020"
"pm","3289","4","04/17/2020"
"join","3285","4","04/17/2020"
"medidas","3283","4","04/17/2020"
"shows","3278","4","04/17/2020"
"war","3277","4","04/17/2020"
"lot","3277","4","04/17/2020"
"normal","3273","4","04/17/2020"
"breaking","3272","4","04/17/2020"
"emergency","3265","4","04/17/2020"
"reports","3260","4","04/17/2020"
"shit","3259","4","04/17/2020"
"everything","3255","4","04/17/2020"
"fox","3243","4","04/17/2020"
"system","3233","4","04/17/2020"
"homes","3225","4","04/17/2020"
"white","3218","4","04/17/2020"
"13","3215","4","04/17/2020"
"und","3211","4","04/17/2020"
"confinement","3210","4","04/17/2020"
"three","3209","4","04/17/2020"
"fuck","3191","4","04/17/2020"
"fake","3182","4","04/17/2020"
"कर","3172","4","04/17/2020"
"no","3162","4","04/17/2020"
"tidak","3150","4","04/17/2020"
"questions","3149","4","04/17/2020"
"is","3146","4","04/17/2020"
"fallecidos","3145","4","04/17/2020"
"gop","3118","4","04/17/2020"
"wrong","3115","4","04/17/2020"
"dying","3111","4","04/17/2020"
"puede","3107","4","04/17/2020"
"ini","3097","4","04/17/2020"
"actually","3095","4","04/17/2020"
"anything","3093","4","04/17/2020"
"foxnews","3085","4","04/17/2020"
"looking","3079","4","04/17/2020"
"fact","3073","4","04/17/2020"
"personal","3072","4","04/17/2020"
"ll","3066","4","04/17/2020"
"el","3057","4","04/17/2020"
"school","3051","4","04/17/2020"
"maybe","3040","4","04/17/2020"
"la","3038","4","04/17/2020"
"little","3032","4","04/17/2020"
"fauci","3027","4","04/17/2020"
"hacer","3015","4","04/17/2020"
"used","3000","3","04/17/2020"
"essential","2989","3","04/17/2020"
"quedateencasa","2987","3","04/17/2020"
"group","2983","3","04/17/2020"
"learn","2983","3","04/17/2020"
"federal","2982","3","04/17/2020"
"ago","2982","3","04/17/2020"
"yg","2972","3","04/17/2020"
"told","2968","3","04/17/2020"
"thought","2965","3","04/17/2020"
"phil","2958","3","04/17/2020"
"ai","2954","3","04/17/2020"
